route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
067-164,1609-Liberty-Weekday-31,9397-1387255,Inbound-MONROEVILLE DOWNTOWN VIA OAKLAND,1,P16 -420,0670089
067-164,1609-Liberty-Weekday-31,9398-1387199,Inbound-MONROEVILLE DOWNTOWN VIA OAKLAND,1,087 -325,0670089
071-164,1609-Liberty-Weekday-31,9399-1387401,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,086 -300,0710043
071-164,1609-Liberty-Weekday-31,9400-1387552,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,086 -303,0710043
071-164,1609-Liberty-Weekday-31,9401-1387439,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,078 -262,0710043
071-164,1609-Liberty-Weekday-31,9402-1387428,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,071D-193,0710043
071-164,1609-Liberty-Weekday-31,9403-1387396,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,071C-150,0710043
071-164,1609-Liberty-Weekday-31,9404-1387393,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,071C-155,0710043
071-164,1609-Liberty-Weekday-31,9405-1387415,Inbound-EDGEWOOD TOWN CENTER TO WILKINSBURG,1,071D-199,0710043
074-164,1609-Liberty-Weekday-31,9406-1387325,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -215,0740111
074-164,1609-Liberty-Weekday-31,9407-1387326,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -216,0740111
074-164,1609-Liberty-Weekday-31,9408-1387327,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -217,0740111
074-164,1609-Liberty-Weekday-31,9409-1387325,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -215,0740111
074-164,1609-Liberty-Weekday-31,9410-1387326,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -216,0740111
074-164,1609-Liberty-Weekday-31,9411-1387563,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -218,0740111
074-164,1609-Liberty-Weekday-31,9412-1387325,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -215,0740111
074-164,1609-Liberty-Weekday-31,9413-1387497,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -219,0740111
074-164,1609-Liberty-Weekday-31,9414-1387563,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -218,0740111
074-164,1609-Liberty-Weekday-31,9415-1387565,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -220,0740111
074-164,1609-Liberty-Weekday-31,9416-1387497,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -219,0740111
074-164,1609-Liberty-Weekday-31,9417-1387563,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -218,0740111
074-164,1609-Liberty-Weekday-31,9418-1387565,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -220,0740111
074-164,1609-Liberty-Weekday-31,9419-1387498,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -221,0740111
074-164,1609-Liberty-Weekday-31,9420-1387564,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -222,0740111
074-164,1609-Liberty-Weekday-31,9421-1387567,Inbound-HOMEWOOD-EAST LIBERTY,1,074 -223,0740111
